seller_id,seller_state,first_order,last_order,sale_days,total_profit,mean_profit,mean_distance,registration_days,origin,landing_page_id,first_contact_date,won_date,date_for_registration,business_type,lead_type,business_segment,sdr_id,sr_id
2c43fb513632d29b3b58df74816f1b06,MG,2018-06-20 22:20:21,2018-07-24 10:31:11,34,785.83,23.11264705882353,388.69236356436255,69,organic_search,b48ec5f3b04e9068441002a19df93c6c,2018-02-21 00:00:00,2018-02-26 19:58:54,5,reseller,online_medium,pet,a8387c01a09e99ce014107505b92388c,4ef15afb4b2723d8f3d81e51ec7afefe
7d13fca15225358621be4086e1eb0964,SP,2018-02-14 21:25:26,2018-08-25 14:04:21,192,104805.89,545.8640104166667,621.7549476655552,195,unknown,b76ef37428e6799c421989521c0e5077,2018-01-22 00:00:00,2018-02-08 17:20:14,17,reseller,online_big,watches,56bf83c4bb35763a51c2baab501b4c67,9ae085775a198122c5586fa830ff7f2b
8a432f4e5b471f8da497d7dc517666e2,SP,2018-04-05 11:28:04,2018-08-28 11:30:12,146,5589.89,38.28691780821918,666.3944097205691,146,organic_search,ce1a65abd0973638f1c887a6efcfa82d,2018-02-27 00:00:00,2018-03-12 17:30:06,13,reseller,online_big,bed_bath_table,9e4d1098a3b0f5da39b0bc48f9876645,c638112b43f1d1b86dcabb0da720c901
4c1c7281388a33dd06daac44f9fadbd1,SP,2018-04-04 09:31:31,2018-06-20 19:58:06,78,106.73,1.3683333333333334,491.2606703859283,147,social,88740e65d5d6b056e0cda098e1ea6313,2018-03-05 00:00:00,2018-03-08 18:57:56,3,reseller,online_medium,stationery,9e4d1098a3b0f5da39b0bc48f9876645,4ef15afb4b2723d8f3d81e51ec7afefe
1d953075c2f0dd990bacf27b83b330f1,MG,2018-08-13 11:50:20,2018-08-13 11:50:20,1,39.68,39.68,1334.585470650588,16,organic_search,a7982125ff7aa3b2054c6e44f9d28522,2018-05-31 00:00:00,2018-06-20 12:24:10,20,reseller,online_medium,computers,4b339f9567d060bcea4f5136b9f5949e,4ef15afb4b2723d8f3d81e51ec7afefe
01fd077212124329bac32490e8ef80d9,SP,2018-04-16 10:55:23,2018-08-25 04:05:18,131,632.64,4.829312977099237,464.73511003312217,135,unknown,b76ef37428e6799c421989521c0e5077,2018-03-28 00:00:00,2018-03-28 22:45:45,0,reseller,online_medium,household_utilities,09285259593c61296eef10c734121d5b,85fc447d336637ba1df43e793199fbc8
612170e34b97004b3ba37eae81836b4c,RS,2018-06-11 15:01:29,2018-08-22 10:15:12,72,20641.76,286.69111111111107,1066.403628845297,79,organic_search,1ceb590cd1e00c7ee95220971f82693d,2018-04-03 00:00:00,2018-06-05 17:27:23,63,reseller,online_big,home_appliances,b90f87164b5f8c2cfa5c8572834dbe3f,6565aa9ce3178a5caf6171827af3a9ba
ffa6adafb71b807dc13159e26431354c,PR,2018-03-17 15:15:26,2018-08-14 04:25:23,150,2132.82,14.218800000000002,790.6814280186937,164,organic_search,ce1a65abd0973638f1c887a6efcfa82d,2018-02-14 00:00:00,2018-02-20 17:44:19,6,manufacturer,online_big,car_accessories,9e4d1098a3b0f5da39b0bc48f9876645,6565aa9ce3178a5caf6171827af3a9ba
4c18691b6037662be2df78a765d98ab5,SP,2018-02-25 19:10:38,2018-08-28 11:10:23,184,2074.53,11.274619565217392,502.19050384678513,184,unknown,b76ef37428e6799c421989521c0e5077,2018-01-17 00:00:00,2018-01-22 15:28:51,5,reseller,online_small,household_utilities,fdb16d3cbbeb5798f2f66c4096be026d,fbf4aef3f6915dc0c3c97d6812522f6a
382229d1e840115ffe3dbf5ff460e417,RJ,2018-04-14 22:51:41,2018-08-20 17:50:28,128,3227.3,25.21328125,550.9918870983958,136,organic_search,22c29808c4f815213303f8933030604c,2018-03-22 00:00:00,2018-03-27 19:15:09,5,reseller,online_big,household_utilities,4b339f9567d060bcea4f5136b9f5949e,495d4e95a8cf8bbf8b432b612a2aa328
f46490624488d3ff7ce78613913a7711,SP,2018-05-23 15:16:38,2018-08-22 03:55:18,91,4033.21,44.32098901098901,583.9730755335185,97,other,73f31a40697cc90a86c1273563ac230e,2018-04-04 00:00:00,2018-05-16 19:51:05,42,reseller,online_big,health_beauty,9d12ef1a7eca3ec58c545c678af7869c,068066e24f0c643eb1d089c7dd20cd73
2646baaf662d4d92ac48f047e35db92d,SP,2018-04-29 22:15:22,2018-08-11 02:35:13,104,976.71,9.391442307692309,221.2652444046581,121,unknown,b76ef37428e6799c421989521c0e5077,2018-03-22 00:00:00,2018-03-23 19:06:54,1,reseller,online_medium,construction_tools_house_garden,9d12ef1a7eca3ec58c545c678af7869c,4ef15afb4b2723d8f3d81e51ec7afefe
7210cd29727d674c00741e5e387b3ccd,SP,2018-06-10 13:36:51,2018-08-21 04:50:24,72,584.0,8.11111111111111,40.94712061250046,80,social,58326e62183c14b0c03085c33b9fdc44,2018-04-02 00:00:00,2018-04-17 17:18:09,15,reseller,online_medium,car_accessories,068066e24f0c643eb1d089c7dd20cd73,de63de0d10a6012430098db33c679b0b
28f10b1c5e5abb9d4857745bede6147c,SP,2018-04-28 08:13:20,2018-08-17 14:50:27,112,484.58,4.326607142857143,458.50421641408553,123,social,58326e62183c14b0c03085c33b9fdc44,2018-04-09 00:00:00,2018-04-10 14:05:56,1,reseller,online_big,audio_video_electronics,370c9f455f93a9a96cbe9bea48e70033,85fc447d336637ba1df43e793199fbc8
db2956745b3a8e9f3785c99f34b5d25e,SP,2018-04-14 15:32:45,2018-08-11 00:05:18,119,7483.54,62.88689075630252,721.4345243926963,136,unknown,b76ef37428e6799c421989521c0e5077,2018-03-13 00:00:00,2018-03-22 19:35:04,9,manufacturer,online_medium,audio_video_electronics,9d12ef1a7eca3ec58c545c678af7869c,de63de0d10a6012430098db33c679b0b
c70c1b0d8ca86052f45a432a38b73958,SP,2018-04-06 17:30:22,2018-08-29 09:04:10,145,32519.01,224.2690344827586,308.94032816626697,144,paid_search,22c29808c4f815213303f8933030604c,2018-03-13 00:00:00,2018-03-13 21:39:34,0,reseller,online_medium,health_beauty,9e4d1098a3b0f5da39b0bc48f9876645,060c0a26f19f4d66b42e0d8796688490
